# Scan universe — every listed company in ../stocks.csv with a tradable listing.
# Generated by build_universe.py; edit stocks.csv and re-run, not this file.
#
# One company per line:  <ISIN>,<Yahoo symbol>
#   ISIN         the identity carried into trend.json
#   Yahoo symbol how the price is fetched: SYMBOL.NS on NSE, CODE.BO for
#                BSE-only listings
#
# 1989 companies (1861 NSE, 128 BSE-only). 10 companies in stocks.csv
# are listed on neither exchange and cannot be scanned.
INE144J01027,20MICRONS.NS
INE913H01037,ENDURANCE.NS
INE510A01028,ENGINERSIN.NS
INE130L01014,ENKEIWHEL.NS
INE1NPP01017,ENRIN.NS
INE010601016,ENTERO.NS
INE0G5901015,EPACK.NS
INE0MLS01022,EPACKPEB.NS
INE071N01016,EPIGRAL.NS
INE255A01020,EPL.NS
INE063P01018,EQUITASBNK.NS
INE406M01024,ERIS.NS
INE284A01012,ESABINDIA.NS
INE818W01011,ESAFSFB.NS
INE042A01014,ESCORTS.NS
INE778B01029,ESTER.NS
INE758T01015,ETERNAL.NS
INE04TZ01018,ETHOSLTD.NS
INE0PXC01024,ETL.NS
INE0KCE01017,EUREKAFORB.NS
INE198501012,EUROPRATIK.NS
INE128A01029,EVEREADY.NS
INE295A01018,EVERESTIND.NS
INE369A01029,EXCELINDUS.NS
INE606N01019,EXCELSOFT.NS
INE777F01014,EXICOM.NS
INE302A01020,EXIDEIND.NS
INE201K01015,EXPLEOSOL.NS
INE0HF201011,FABTECH.NS
INE188A01015,FACT.NS
INE0DNW01011,FAIRCHEMOR.NS
INE963C01033,FAZE3Q.NS
INE045J01034,FCL.NS
INE258B01022,FDC.NS
INE417D01020,FEDDERSHOL.NS
INE171A01029,FEDERALBNK.NS
INE007N01010,FEDFINA.NS
INE225B01021,FERMENTA.NS
INE737H01014,FIEMIND.NS
INE816B01035,FILATEX.NS
INE235A01022,FINCABLES.NS
INE686Y01026,FINEORG.NS
INE734I01027,FINKURVE.NS
INE02NC01014,FINOPB.NS
INE183A01024,FINPIPE.NS
INE02RE01045,FIRSTCRY.NS
INE771F01041,FISCHER.NS
INE128S01021,FIVESTAR.NS
INE00Y201027,FLAIR.NS
INE09N301011,FLUOROCHEM.NS
INE0VCK01011,FLYSBS.NS
INE529A01010,FMGOETZE.NS
INE0I7D01019,FOCE.NS
INE451A01017,FORCEMOT.NS
INE061F01013,FORTIS.NS
INE519A01011,FOSECOIND.NS
INE212S01015,FRACTAL.NS
INE194R01017,FREDUN.NS
INE0SFW01015,FRESHARA.NS
INE572D01014,FRONTSP.NS
INE684F01012,FSL.NS
INE139R01012,FUSION.NS
INE524A01029,GABRIEL.NS
INE036B01030,GAEL.NS
INE129A01019,GAIL.NS
INE0RE001014,GALAPREC.NS
INE600K01018,GALAXYSURF.NS
INE297H01019,GALLANTT.NS
INE717W01049,GANDHAR.NS
INE524B01027,GANDHITUBE.NS
INE845D01014,GANECOS.NS
INE388A01029,GANESHBE.NS
INE652V01016,GANESHCP.NS
INE460C01014,GANESHHOU.NS
INE276A01018,GARFIBRES.NS
INE0JVO01026,GARUDA.NS
INE079J01017,GATEWAY.NS
INE0P8B01020,GAUDIUMIVF.NS
INE336H01023,GAYAPROJ.NS
INE199P01028,GCSL.NS
INE916G01016,GEECEE.NS
INE06XZ01023,GEMAROMA.NS
INE727B01026,GENESYS.NS
INE955D01029,GENUSPOWER.NS
INE007B01023,GEOJITFSL.NS
INE017A01032,GESHIP.NS
INE538A01037,GFLLIMITED.NS
INE0R8C01018,GGBL.NS
INE539A01019,GHCL.NS
INE0PA801013,GHCLTEXTIL.NS
INE289B01019,GICHSGFIN.NS
INE481Y01014,GICRE.NS
INE322A01010,GILLETTE.NS
INE162A01010,GIPCL.NS
INE1AG301022,GKENERGY.NS
INE0V0W01025,GKSL.NS
INE528A01020,GKWLIMITED.NS
INE068V01023,GLAND.NS
INE159A01016,GLAXO.NS
INE935A01035,GLENMARK.NS
INE291W01037,GLOBAL.NS
INE615I01010,GLOBUSSPR.NS
INE350Z01018,GLOSTERLTD.NS
INE0TQE01026,GLOTTIS.NS
INE075D01018,GMBREW.NS
INE131A01031,GMDCLTD.NS
INE541A01023,GMMPFAUDLR.NS
INE776C01039,GMRAIRPORT.NS
INE0CU601026,GMRP&UI.NS
INE934S01014,GNA.NS
INE113A01013,GNFC.NS
INE207H01018,GNRL.NS
INE077F01035,GOCLCORP.NS
INE0BJS01011,GOCOLORS.NS
INE497S01012,GODAVARIB.NS
INE260B01028,GODFRYPHLP.NS
INE03JT01014,GODIGIT.NS
INE850D01014,GODREJAGRO.NS
INE102D01028,GODREJCP.NS
INE233A01035,GODREJIND.NS
INE484J01027,GODREJPROP.NS
INE887G01027,GOKEX.NS
INE314T01033,GOKULAGRO.NS
INE025B01025,GOLDIAM.NS
INE127I01024,GOODLUCK.NS
INE533A01012,GOODYEAR.NS
